project,id,label,category,created_at
AGB-CRM,5c19f338-8668-459f-8a37-803076d47947,Daily PMO standup template (GigaPaul),ops,2026-05-27 09:12:24.434+00
AGB-CRM,f8841830-6996-4340-811b-ed90a2f9d099,Dashboard spec (CLAUDE.md DASHBOARD_SPEC),tech,2026-05-27 09:12:23.658+00
AGB-CRM,ff30973c-08da-4915-9955-ce3822fc9c48,Drizzle schema (db/schema.ts),tech,2026-05-27 09:12:23.276+00
AGB-CRM,7181d053-d1e5-4c90-bb5a-96665dfd26ae,Enterprise AI Tool: GigaChad Test Manager,tech,2026-05-27 09:12:23.847+00
AGB-CRM,b8fc952c-4797-4c41-8790-1d492bc90c37,Enterprise AI Tool: GigaPaul PMO Agent,tech,2026-05-27 09:12:24.048+00
AGB-CRM,0c9681e1-81a2-4bfd-a125-3d121a232e2a,GigaChad ↔ GigaPaul coordination protocol,ops,2026-05-27 09:12:24.24+00
AGB-CRM,0a662994-7f8f-4228-a79b-00abc8db96da,Local: /Users/tomas/AGB-CRM,tech,2026-05-27 09:12:22.894+00
AGB-CRM,e9691d1c-90b3-46fd-a6e9-5173c0e7458b,Migrations (db/migrations/ 0001–0006),tech,2026-05-27 09:12:23.47+00
AGB-CRM,bf861cce-b53d-41bc-a1b7-fa92a6fe5939,Roadmap (this app's /roadmap),ops,2026-05-27 09:12:24.626+00
AGB-CRM,a508001d-bc88-4a9a-b8f8-67babed2381f,Supabase project (uktrhbvdamzfzbnhuwhn),tech,2026-05-27 09:12:23.087+00
AGB-CRM,96d5a5c4-e161-4c15-8e07-adcba120b42b,Use-case doc (chief of staff workflow),business,2026-05-27 09:12:22.508+00
CaneyCloud,1bcd658a-986a-47fa-a7fd-e57c56d1232c,5 feature-deep 60s promo videos,marketing,2026-05-27 09:12:10.522+00
CaneyCloud,31626502-d7ed-488c-8007-d3d97f3e453c,Alembic migration chain (single head 076),tech,2026-05-27 09:12:11.694+00
CaneyCloud,3f447a3b-7e90-44b8-a932-745c4863d94e,Brand assets (caneycloud-launch repo),marketing,2026-05-27 09:12:10.126+00
CaneyCloud,83138248-0be8-45d3-b844-319e99e62e71,Cloud Run staging deploys (backend),tech,2026-05-27 09:12:11.304+00
CaneyCloud,11cf50e9-b857-4fca-ab4f-f2825b2e2f2e,Co-owned with JEAV — operator-side,ops,2026-05-27 09:12:11.893+00
CaneyCloud,d11af706-eebe-4d82-9f00-73b2fa73885a,Customer pipeline (posadas + restaurants + chains),business,2026-05-27 09:12:09.55+00
CaneyCloud,8d36f36f-9ef1-470a-84f9-ea693ffdb030,GigaChad test orchestrator (quality gates),ops,2026-05-27 09:12:12.276+00
CaneyCloud,4ee42b5e-6841-4544-b3cf-be6ae0fde356,GigaPaul PMO board (cross-project sprint state),ops,2026-05-27 09:12:12.088+00
CaneyCloud,f370c8b4-ab39-4cbd-a080-f100dee5325f,Local: /Users/tomas/--TOURISM--,tech,2026-05-27 09:12:10.91+00
CaneyCloud,eb59bb26-507d-4d79-a0c3-f154e1e20a8b,Overlord task board (16 sections),tech,2026-05-27 09:12:11.11+00
CaneyCloud,04a02791-ebd5-4c0d-a5f7-b1e6e2b82db7,"Partner agreements (OTAs, payment processors)",business,2026-05-27 09:12:09.745+00
CaneyCloud,91e72b9d-0e11-456d-9410-3adf53f2dd06,Pricing & packaging (per-property SaaS),business,2026-05-27 09:12:09.362+00
CaneyCloud,c5ba9901-6411-465c-974a-0eb939c3f245,Product deck (CaneyCloud-Deck.pdf),marketing,2026-05-27 09:12:10.324+00
CaneyCloud,b32d9e1c-48b0-4029-bc8b-c62d24da4def,Supabase project uktrhbvdamzfzbnhuwhn,tech,2026-05-27 09:12:11.497+00
Cosecha,220c8da4-4b8e-444e-a716-4d4a69d995c2,apps/api — Hono on Node.js,tech,2026-05-27 09:12:35.003+00
Cosecha,131b0c1a-4698-491b-85e0-5dad161805e7,apps/dashboard — Next.js 15 + Supabase Auth,tech,2026-05-27 09:12:35.197+00
Cosecha,70d1fced-d3a1-47f2-899b-544788c5a74f,Brand identity (TBD),marketing,2026-05-27 09:12:34.04+00
Cosecha,79f42672-6221-481a-99e4-6e453cea80a3,"Buyer relationships (restaurants, markets)",business,2026-05-27 09:12:33.661+00
Cosecha,3c9c08c2-4840-4069-8cc3-017edb58184d,CLAUDE.md (full architecture spec),tech,2026-05-27 09:12:34.62+00
Cosecha,f78da925-2d11-40d1-8d91-d1205fa14ac7,GitHub Actions CI pipeline,ops,2026-05-27 09:12:36.168+00
Cosecha,9b9ce8ba-47da-4523-ae8e-d8af9c9d50a3,Grower pipeline (field-agent enrollment),business,2026-05-27 09:12:33.468+00
Cosecha,536bdfc2-02d9-412f-9203-8f898e710c2e,Landing page (TBD — no consumer web yet),marketing,2026-05-27 09:12:34.234+00
Cosecha,4c797ace-cd88-424e-af8b-7180244ea646,Local: /Users/tomas/vz-farmers-marketplace,tech,2026-05-27 09:12:34.431+00
Cosecha,e094a176-21bd-4123-8381-be0216027e6d,packages/payments — Pago Móvil + USDC escrow,tech,2026-05-27 09:12:35.585+00
Cosecha,01822d0a-5ddc-46b7-bd4d-e899705573a1,packages/whatsapp — WA Business Cloud API v21,tech,2026-05-27 09:12:35.395+00
Cosecha,b23570e1-c0fb-4f7f-9325-17dac2c95bfe,"Product thesis (B2B2C produce, WA-native)",business,2026-05-27 09:12:33.274+00
Cosecha,c7bb5736-a5f1-4e5b-bd6a-512a7e645d67,Production-readiness gates added (latest commit),ops,2026-05-27 09:12:35.976+00
Cosecha,a84fc0d6-f866-4614-bcd9-cb0cb8948ff6,Turborepo + pnpm workspaces (5 packages),tech,2026-05-27 09:12:34.809+00
Cosecha,b01dc442-aa3b-4bf4-a8e9-5024bc52a03c,USDC + Pago Móvil settlement model,business,2026-05-27 09:12:33.849+00
Cosecha,ef5f1d49-3cdb-428e-856d-05802163dd0b,Vercel deploy + cron jobs (vercel.json),ops,2026-05-27 09:12:36.358+00
Cosecha,5568bda3-2b65-4c42-9cf7-b01737e30d97,"Vitest suite (248 tests, 20 files)",tech,2026-05-27 09:12:35.782+00
FormaVZ EdTech,43fe7e65-684a-4912-b778-bc8d83df520f,_research/ + _tasks/ folders,tech,2026-05-27 09:12:31.923+00
FormaVZ EdTech,8905b3fe-bfeb-42d7-88b5-f3a902fdeba8,Brand identity (Spanish-first),marketing,2026-05-27 09:12:30.953+00
FormaVZ EdTech,a51390e4-933e-48f9-9fa3-3b52d6ae3d9c,Clean-room discipline (Source-Discipline footer),tech,2026-05-27 09:12:31.536+00
FormaVZ EdTech,9f81d73c-10f2-464e-a5e3-cd3823f36e82,Course catalog plan (5 courses MVP),business,2026-05-27 09:12:30.76+00
FormaVZ EdTech,ada421ee-9d88-4fdc-9e99-a75975b2d17c,Local: /Users/tomas/formavz,tech,2026-05-27 09:12:31.342+00
FormaVZ EdTech,7cd91b1c-65b3-41fd-b617-0e43a216b489,Market thesis (Spanish-first learners),business,2026-05-27 09:12:30.569+00
